Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.00      0.01     0.01   549184     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
 50.00      0.02     0.01   549183     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.02     0.00   561235     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.02     0.00   554952     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.02     0.00   554947     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.02     0.00   552831     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.02     0.00   550232     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.02     0.00   549184     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.02     0.00   549184     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.02     0.00   548659     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.02     0.00   548659     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator[](unsigned long)
  0.00      0.02     0.00   548659     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.02     0.00    12576     0.00     0.00  std::_Bit_iterator_base::_M_bump_up()
  0.00      0.02     0.00     8404     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.02     0.00     6288     0.00     0.00  std::_Bit_const_iterator::operator*() const
  0.00      0.02     0.00     6288     0.00     0.00  std::_Bit_iterator::operator++()
  0.00      0.02     0.00     6288     0.00     0.00  std::_Bit_const_iterator::operator++()
  0.00      0.02     0.00     2672     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.02     0.00     2100     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      0.02     0.00     1614     0.00     0.00  std::__is_constant_evaluated()
  0.00      0.02     0.00     1587     0.00     0.00  std::is_constant_evaluated()
  0.00      0.02     0.00     1586     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.02     0.00     1572     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.00      0.02     0.00     1572     0.00     0.00  unsigned long* std::__niter_base<unsigned long*>(unsigned long*)
  0.00      0.02     0.00     1565     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.02     0.00     1070     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.02     0.00     1059     0.00     0.00  Graph::addEdge(int, int)
  0.00      0.02     0.00     1051     0.00     0.00  unsigned long* std::__addressof<unsigned long>(unsigned long&)
  0.00      0.02     0.00     1050     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_Bvector_impl_data()
  0.00      0.02     0.00     1050     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long)
  0.00      0.02     0.00     1048     0.00     0.00  std::vector<bool, std::allocator<bool> >::end() const
  0.00      0.02     0.00     1048     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.00      0.02     0.00     1048     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.00      0.02     0.00     1048     0.00     0.00  std::vector<bool, std::allocator<bool> >* std::__addressof<std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >&)
  0.00      0.02     0.00     1048     0.00     0.00  unsigned long* std::__miter_base<unsigned long*>(unsigned long*)
  0.00      0.02     0.00     1048     0.00     0.00  std::_Bit_const_iterator std::__miter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)
  0.00      0.02     0.00     1048     0.00     0.00  std::_Bit_const_iterator std::__niter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)
  0.00      0.02     0.00     1048     0.00     0.00  std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  0.00      0.02     0.00     1036     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.02     0.00      535     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.02     0.00      526     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00      0.02     0.00      526     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.02     0.00      525     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_allocate(unsigned long)
  0.00      0.02     0.00      525     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl(std::allocator<unsigned long> const&)
  0.00      0.02     0.00      525     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::~_Bvector_impl()
  0.00      0.02     0.00      525     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_deallocate()
  0.00      0.02     0.00      525     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_M_reset()
  0.00      0.02     0.00      525     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_base(std::allocator<bool> const&)
  0.00      0.02     0.00      525     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::~_Bvector_base()
  0.00      0.02     0.00      525     0.00     0.00  std::__new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.00      0.02     0.00      525     0.00     0.00  std::__new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00      0.02     0.00      525     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long)
  0.00      0.02     0.00      525     0.00     0.00  std::vector<bool, std::allocator<bool> >::~vector()
  0.00      0.02     0.00      525     0.00     0.00  decltype (::new ((void*)(0)) int((declval<int>)())) std::construct_at<int, int>(int*, int&&)
  0.00      0.02     0.00      524     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.02     0.00      524     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const
  0.00      0.02     0.00      524     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_get_Bit_allocator() const
  0.00      0.02     0.00      524     0.00     0.00  std::vector<bool, std::allocator<bool> >::size() const
  0.00      0.02     0.00      524     0.00     0.00  std::_Bit_iterator std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      0.02     0.00      524     0.00     0.00  unsigned long* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned long, unsigned long>(unsigned long*, unsigned long*, unsigned long*)
  0.00      0.02     0.00      524     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      0.02     0.00      524     0.00     0.00  std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&)
  0.00      0.02     0.00      524     0.00     0.00  int& std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      0.02     0.00      524     0.00     0.00  std::vector<int, std::allocator<int> >::back()
  0.00      0.02     0.00      524     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.00      0.02     0.00      524     0.00     0.00  void std::_Construct<std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > const&>(std::vector<bool, std::allocator<bool> >*, std::vector<bool, std::allocator<bool> > const&)
  0.00      0.02     0.00      524     0.00     0.00  void std::destroy_at<std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*)
  0.00      0.02     0.00      524     0.00     0.00  std::_Bit_iterator std::__niter_base<std::_Bit_iterator>(std::_Bit_iterator)
  0.00      0.02     0.00      524     0.00     0.00  unsigned long* std::__niter_wrap<unsigned long*>(unsigned long* const&, unsigned long*)
  0.00      0.02     0.00      524     0.00     0.00  std::_Bit_iterator std::__niter_wrap<std::_Bit_iterator>(std::_Bit_iterator const&, std::_Bit_iterator)
  0.00      0.02     0.00      524     0.00     0.00  unsigned long* std::__copy_move_a<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      0.02     0.00      524     0.00     0.00  std::_Bit_iterator std::__copy_move_a<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      0.02     0.00      524     0.00     0.00  unsigned long* std::__copy_move_a1<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      0.02     0.00      524     0.00     0.00  std::_Bit_iterator std::__copy_move_a1<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      0.02     0.00      524     0.00     0.00  unsigned long* std::__copy_move_a2<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      0.02     0.00      524     0.00     0.00  std::_Bit_iterator std::__copy_move_a2<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      0.02     0.00      524     0.00     0.00  unsigned long* std::copy<unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      0.02     0.00      524     0.00     0.00  std::_Bit_iterator std::copy<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      0.02     0.00      524     0.00     0.00  std::vector<bool, std::allocator<bool> > const& std::forward<std::vector<bool, std::allocator<bool> > const&>(std::remove_reference<std::vector<bool, std::allocator<bool> > const&>::type&)
  0.00      0.02     0.00      524     0.00     0.00  void std::_Destroy<std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*)
  0.00      0.02     0.00      520     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.02     0.00      518     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.02     0.00      518     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.02     0.00      518     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.02     0.00      518     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.02     0.00      518     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.02     0.00      518     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.02     0.00      517     0.00     0.00  std::deque<int, std::allocator<int> >::front()
  0.00      0.02     0.00      517     0.00     0.00  std::deque<int, std::allocator<int> >::pop_front()
  0.00      0.02     0.00      517     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      0.02     0.00      517     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::front()
  0.00      0.02     0.00      517     0.00     0.00  void std::destroy_at<int>(int*)
  0.00      0.02     0.00      516     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.02     0.00      516     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.02     0.00      516     0.00     0.00  decltype (::new ((void*)(0)) int((declval<int const&>)())) std::construct_at<int, int const&>(int*, int const&)
  0.00      0.02     0.00       66     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.02     0.00       45     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.02     0.00       44     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.02     0.00       28     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.02     0.00       26     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.02     0.00       24     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.02     0.00       22     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.02     0.00       22     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.02     0.00       22     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.02     0.00       22     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.02     0.00       22     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.02     0.00       22     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.02     0.00       16     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.02     0.00       16     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.02     0.00       14     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.02     0.00       13     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.02     0.00       13     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.02     0.00       11     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.02     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.02     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.02     0.00       11     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00      0.02     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.02     0.00       10     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.02     0.00        6     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.02     0.00        6     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::size() const
  0.00      0.02     0.00        5     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
  0.00      0.02     0.00        5     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      0.02     0.00        5     0.00     0.00  std::_Vector_base<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_get_Tp_allocator()
  0.00      0.02     0.00        4     0.00     0.00  std::move_iterator<std::vector<bool, std::allocator<bool> >*>::base() const &
  0.00      0.02     0.00        4     0.00     0.00  std::deque<int, std::allocator<int> >::size() const
  0.00      0.02     0.00        4     0.00     0.00  std::deque<int, std::allocator<int> >::max_size() const
  0.00      0.02     0.00        4     0.00     0.00  std::move_iterator<std::vector<bool, std::allocator<bool> >*>::move_iterator(std::vector<bool, std::allocator<bool> >*)
  0.00      0.02     0.00        4     0.00     0.00  std::deque<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.02     0.00        4     0.00     0.00  std::deque<int, std::allocator<int> >::_M_pop_front_aux()
  0.00      0.02     0.00        4     0.00     0.00  void std::deque<int, std::allocator<int> >::_M_push_back_aux<int const&>(int const&)
